Policy,Avg_Reward,Std_Reward,Avg_Quality,Std_Quality,Avg_Cost,Std_Cost,Avg_Steps,Avg_Retrieves,Avg_Reasons,Termination_Rate
ARGO,-1.1558581800212437,2.220446049250313e-16,0.9241418199787569,3.3306690738754696e-16,1.3000000000000003,2.220446049250313e-16,14.0,0.0,13.0,1.0
AlwaysRetrieve,-2.3078581800212428,0.7047268974574479,0.9241418199787569,3.3306690738754696e-16,2.02,0.44045431091090487,11.1,10.1,0.0,1.0
AlwaysReason,-1.1558581800212437,2.220446049250313e-16,0.9241418199787569,3.3306690738754696e-16,1.3000000000000003,2.220446049250313e-16,14.0,0.0,13.0,1.0
FixedK1,-1.1558581800212437,2.220446049250313e-16,0.9241418199787569,3.3306690738754696e-16,1.3000000000000003,2.220446049250313e-16,13.99,0.01,12.98,1.0
FixedK2,-1.1558581800212437,2.220446049250313e-16,0.9241418199787569,3.3306690738754696e-16,1.3000000000000003,2.220446049250313e-16,13.98,0.02,12.96,1.0
FixedK3,-1.1558581800212437,2.220446049250313e-16,0.9241418199787569,3.3306690738754696e-16,1.3000000000000003,2.2093159237770887e-16,13.97,0.03,12.94,1.0
FixedK5,-1.1590581800212436,0.0318395979874119,0.9241418199787569,3.3601445959922217e-16,1.3020000000000005,0.019899748742132448,13.97,0.05,12.92,1.0
Random,-1.5166667684167308,0.5146081847874476,0.8417332315832694,0.12237911507052082,1.4739999999999998,0.36513559125344114,10.9,4.84,5.06,1.0
SingleThreshold,-2.3078581800212428,0.7047268974574479,0.9241418199787569,3.3306690738754696e-16,2.02,0.44045431091090487,11.1,10.1,0.0,1.0
